,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
22684,,,Saint Vincent and the Grenadines,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
22685,,,Saint Vincent and the Grenadines,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
22686,,,Saint Vincent and the Grenadines,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
22687,,,Saint Vincent and the Grenadines,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
22688,,,Saint Vincent and the Grenadines,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
22689,,,Saint Vincent and the Grenadines,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
22690,,,Saint Vincent and the Grenadines,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
22691,,,Saint Vincent and the Grenadines,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
22692,,,Saint Vincent and the Grenadines,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
22693,,,Saint Vincent and the Grenadines,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
22694,,,Saint Vincent and the Grenadines,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
22695,,,Saint Vincent and the Grenadines,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
22696,,,Saint Vincent and the Grenadines,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
22697,,,Saint Vincent and the Grenadines,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
22698,,,Saint Vincent and the Grenadines,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
22699,,,Saint Vincent and the Grenadines,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
22700,,,Saint Vincent and the Grenadines,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
22701,,,Saint Vincent and the Grenadines,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
22702,,,Saint Vincent and the Grenadines,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
22703,,,Saint Vincent and the Grenadines,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
22704,,,Saint Vincent and the Grenadines,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
22705,,,Saint Vincent and the Grenadines,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
22706,,,Saint Vincent and the Grenadines,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
22707,,,Saint Vincent and the Grenadines,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
22708,,,Saint Vincent and the Grenadines,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
22709,,,Saint Vincent and the Grenadines,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
22710,,,Saint Vincent and the Grenadines,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
22711,,,Saint Vincent and the Grenadines,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
22712,,,Saint Vincent and the Grenadines,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
22713,,,Saint Vincent and the Grenadines,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
22714,,,Saint Vincent and the Grenadines,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
22715,,,Saint Vincent and the Grenadines,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
22716,,,Saint Vincent and the Grenadines,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
22717,,,Saint Vincent and the Grenadines,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
22718,,,Saint Vincent and the Grenadines,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
22719,,,Saint Vincent and the Grenadines,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
22720,,,Saint Vincent and the Grenadines,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
22721,,,Saint Vincent and the Grenadines,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
22722,,,Saint Vincent and the Grenadines,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
22723,,,Saint Vincent and the Grenadines,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
22724,,,Saint Vincent and the Grenadines,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
22725,,,Saint Vincent and the Grenadines,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
22726,,,Saint Vincent and the Grenadines,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
22727,,,Saint Vincent and the Grenadines,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
22728,,,Saint Vincent and the Grenadines,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
22729,,,Saint Vincent and the Grenadines,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
22730,,,Saint Vincent and the Grenadines,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
22731,,,Saint Vincent and the Grenadines,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
22732,,,Saint Vincent and the Grenadines,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
22733,,,Saint Vincent and the Grenadines,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
22734,,,Saint Vincent and the Grenadines,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
22735,,,Saint Vincent and the Grenadines,2020-03-14,ConfirmedCases,1.0,Fatalities,0.0
22736,,,Saint Vincent and the Grenadines,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
22737,,,Saint Vincent and the Grenadines,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
22738,,,Saint Vincent and the Grenadines,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
22739,,,Saint Vincent and the Grenadines,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
22740,,,Saint Vincent and the Grenadines,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
22741,,,Saint Vincent and the Grenadines,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
22742,,,Saint Vincent and the Grenadines,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
22743,,,Saint Vincent and the Grenadines,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
22744,,,Saint Vincent and the Grenadines,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
22745,,,Saint Vincent and the Grenadines,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
22746,,,Saint Vincent and the Grenadines,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
22747,,,Saint Vincent and the Grenadines,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
22748,,,Saint Vincent and the Grenadines,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
22749,,,Saint Vincent and the Grenadines,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
22750,,,Saint Vincent and the Grenadines,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
22751,,,Saint Vincent and the Grenadines,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
22752,,,Saint Vincent and the Grenadines,2020-03-31,ConfirmedCases,0.0,Fatalities,0.0
22753,,,Saint Vincent and the Grenadines,2020-04-01,ConfirmedCases,0.0,Fatalities,0.0
22754,,,Saint Vincent and the Grenadines,2020-04-02,ConfirmedCases,1.0,Fatalities,0.0
22755,,,Saint Vincent and the Grenadines,2020-04-03,ConfirmedCases,1.0,Fatalities,0.0
22756,,,Saint Vincent and the Grenadines,2020-04-04,ConfirmedCases,4.0,Fatalities,0.0
22757,,,Saint Vincent and the Grenadines,2020-04-05,ConfirmedCases,0.0,Fatalities,0.0
22758,,,Saint Vincent and the Grenadines,2020-04-06,ConfirmedCases,0.0,Fatalities,0.0
22759,,,Saint Vincent and the Grenadines,2020-04-07,ConfirmedCases,1.0,Fatalities,0.0
22760,,,Saint Vincent and the Grenadines,2020-04-08,ConfirmedCases,0.0,Fatalities,0.0
22761,,,Saint Vincent and the Grenadines,2020-04-09,ConfirmedCases,4.0,Fatalities,0.0
22762,,,Saint Vincent and the Grenadines,2020-04-10,ConfirmedCases,0.0,Fatalities,0.0
22763,,,Saint Vincent and the Grenadines,2020-04-11,ConfirmedCases,0.0,Fatalities,0.0
22764,,,Saint Vincent and the Grenadines,2020-04-12,ConfirmedCases,0.0,Fatalities,0.0
22765,,,Saint Vincent and the Grenadines,2020-04-13,ConfirmedCases,0.0,Fatalities,0.0
22766,,,Saint Vincent and the Grenadines,2020-04-14,ConfirmedCases,0.0,Fatalities,0.0
22767,,,Saint Vincent and the Grenadines,2020-04-15,ConfirmedCases,0.0,Fatalities,0.0
22768,,,Saint Vincent and the Grenadines,2020-04-16,ConfirmedCases,0.0,Fatalities,0.0
22769,,,Saint Vincent and the Grenadines,2020-04-17,ConfirmedCases,0.0,Fatalities,0.0
22770,,,Saint Vincent and the Grenadines,2020-04-18,ConfirmedCases,0.0,Fatalities,0.0
22771,,,Saint Vincent and the Grenadines,2020-04-19,ConfirmedCases,0.0,Fatalities,0.0
22772,,,Saint Vincent and the Grenadines,2020-04-20,ConfirmedCases,0.0,Fatalities,0.0
22773,,,Saint Vincent and the Grenadines,2020-04-21,ConfirmedCases,0.0,Fatalities,0.0
22774,,,Saint Vincent and the Grenadines,2020-04-22,ConfirmedCases,1.0,Fatalities,0.0
22775,,,Saint Vincent and the Grenadines,2020-04-23,ConfirmedCases,0.0,Fatalities,0.0
22776,,,Saint Vincent and the Grenadines,2020-04-24,ConfirmedCases,1.0,Fatalities,0.0
22777,,,Saint Vincent and the Grenadines,2020-04-25,ConfirmedCases,0.0,Fatalities,0.0
22778,,,Saint Vincent and the Grenadines,2020-04-26,ConfirmedCases,0.0,Fatalities,0.0
22779,,,Saint Vincent and the Grenadines,2020-04-27,ConfirmedCases,1.0,Fatalities,0.0
22780,,,Saint Vincent and the Grenadines,2020-04-28,ConfirmedCases,0.0,Fatalities,0.0
22781,,,Saint Vincent and the Grenadines,2020-04-29,ConfirmedCases,1.0,Fatalities,0.0
22782,,,Saint Vincent and the Grenadines,2020-04-30,ConfirmedCases,0.0,Fatalities,0.0
22783,,,Saint Vincent and the Grenadines,2020-05-01,ConfirmedCases,0.0,Fatalities,0.0
22784,,,Saint Vincent and the Grenadines,2020-05-02,ConfirmedCases,0.0,Fatalities,0.0
22785,,,Saint Vincent and the Grenadines,2020-05-03,ConfirmedCases,0.0,Fatalities,0.0
22786,,,Saint Vincent and the Grenadines,2020-05-04,ConfirmedCases,1.0,Fatalities,0.0
22787,,,Saint Vincent and the Grenadines,2020-05-05,ConfirmedCases,0.0,Fatalities,0.0
22788,,,Saint Vincent and the Grenadines,2020-05-06,ConfirmedCases,0.0,Fatalities,0.0
22789,,,Saint Vincent and the Grenadines,2020-05-07,ConfirmedCases,0.0,Fatalities,0.0
22790,,,Saint Vincent and the Grenadines,2020-05-08,ConfirmedCases,0.0,Fatalities,0.0
