,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
22791,,,San Marino,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
22792,,,San Marino,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
22793,,,San Marino,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
22794,,,San Marino,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
22795,,,San Marino,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
22796,,,San Marino,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
22797,,,San Marino,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
22798,,,San Marino,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
22799,,,San Marino,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
22800,,,San Marino,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
22801,,,San Marino,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
22802,,,San Marino,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
22803,,,San Marino,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
22804,,,San Marino,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
22805,,,San Marino,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
22806,,,San Marino,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
22807,,,San Marino,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
22808,,,San Marino,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
22809,,,San Marino,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
22810,,,San Marino,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
22811,,,San Marino,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
22812,,,San Marino,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
22813,,,San Marino,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
22814,,,San Marino,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
22815,,,San Marino,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
22816,,,San Marino,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
22817,,,San Marino,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
22818,,,San Marino,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
22819,,,San Marino,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
22820,,,San Marino,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
22821,,,San Marino,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
22822,,,San Marino,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
22823,,,San Marino,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
22824,,,San Marino,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
22825,,,San Marino,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
22826,,,San Marino,2020-02-27,ConfirmedCases,1.0,Fatalities,0.0
22827,,,San Marino,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
22828,,,San Marino,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
22829,,,San Marino,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
22830,,,San Marino,2020-03-02,ConfirmedCases,7.0,Fatalities,0.0
22831,,,San Marino,2020-03-03,ConfirmedCases,2.0,Fatalities,1.0
22832,,,San Marino,2020-03-04,ConfirmedCases,6.0,Fatalities,0.0
22833,,,San Marino,2020-03-05,ConfirmedCases,5.0,Fatalities,0.0
22834,,,San Marino,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
22835,,,San Marino,2020-03-07,ConfirmedCases,2.0,Fatalities,0.0
22836,,,San Marino,2020-03-08,ConfirmedCases,13.0,Fatalities,0.0
22837,,,San Marino,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
22838,,,San Marino,2020-03-10,ConfirmedCases,15.0,Fatalities,1.0
22839,,,San Marino,2020-03-11,ConfirmedCases,11.0,Fatalities,0.0
22840,,,San Marino,2020-03-12,ConfirmedCases,7.0,Fatalities,1.0
22841,,,San Marino,2020-03-13,ConfirmedCases,11.0,Fatalities,2.0
22842,,,San Marino,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
22843,,,San Marino,2020-03-15,ConfirmedCases,21.0,Fatalities,0.0
22844,,,San Marino,2020-03-16,ConfirmedCases,8.0,Fatalities,2.0
22845,,,San Marino,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
22846,,,San Marino,2020-03-18,ConfirmedCases,10.0,Fatalities,4.0
22847,,,San Marino,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
22848,,,San Marino,2020-03-20,ConfirmedCases,25.0,Fatalities,3.0
22849,,,San Marino,2020-03-21,ConfirmedCases,0.0,Fatalities,6.0
22850,,,San Marino,2020-03-22,ConfirmedCases,31.0,Fatalities,0.0
22851,,,San Marino,2020-03-23,ConfirmedCases,12.0,Fatalities,0.0
22852,,,San Marino,2020-03-24,ConfirmedCases,0.0,Fatalities,1.0
22853,,,San Marino,2020-03-25,ConfirmedCases,21.0,Fatalities,0.0
22854,,,San Marino,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
22855,,,San Marino,2020-03-27,ConfirmedCases,15.0,Fatalities,0.0
22856,,,San Marino,2020-03-28,ConfirmedCases,1.0,Fatalities,1.0
