,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
22898,,,Sao Tome and Principe,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
22899,,,Sao Tome and Principe,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
22900,,,Sao Tome and Principe,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
22901,,,Sao Tome and Principe,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
22902,,,Sao Tome and Principe,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
22903,,,Sao Tome and Principe,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
22904,,,Sao Tome and Principe,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
22905,,,Sao Tome and Principe,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
22906,,,Sao Tome and Principe,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
22907,,,Sao Tome and Principe,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
22908,,,Sao Tome and Principe,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
22909,,,Sao Tome and Principe,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
22910,,,Sao Tome and Principe,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
22911,,,Sao Tome and Principe,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
22912,,,Sao Tome and Principe,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
22913,,,Sao Tome and Principe,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
22914,,,Sao Tome and Principe,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
22915,,,Sao Tome and Principe,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
22916,,,Sao Tome and Principe,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
22917,,,Sao Tome and Principe,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
22918,,,Sao Tome and Principe,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
22919,,,Sao Tome and Principe,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
22920,,,Sao Tome and Principe,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
22921,,,Sao Tome and Principe,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
22922,,,Sao Tome and Principe,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
22923,,,Sao Tome and Principe,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
22924,,,Sao Tome and Principe,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
22925,,,Sao Tome and Principe,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
22926,,,Sao Tome and Principe,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
22927,,,Sao Tome and Principe,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
