,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
23112,,,Senegal,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
23113,,,Senegal,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
23114,,,Senegal,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
23115,,,Senegal,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
23116,,,Senegal,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
23117,,,Senegal,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
23118,,,Senegal,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
23119,,,Senegal,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
23120,,,Senegal,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
23121,,,Senegal,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
23122,,,Senegal,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
23123,,,Senegal,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
23124,,,Senegal,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
23125,,,Senegal,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
23126,,,Senegal,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
23127,,,Senegal,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
23128,,,Senegal,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
23129,,,Senegal,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
23130,,,Senegal,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
23131,,,Senegal,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
23132,,,Senegal,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
23133,,,Senegal,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
23134,,,Senegal,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
23135,,,Senegal,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
23136,,,Senegal,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
23137,,,Senegal,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
23138,,,Senegal,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
23139,,,Senegal,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
23140,,,Senegal,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
23141,,,Senegal,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
23142,,,Senegal,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
23143,,,Senegal,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
23144,,,Senegal,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
23145,,,Senegal,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
23146,,,Senegal,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
23147,,,Senegal,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
23148,,,Senegal,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
