,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
23326,,,Seychelles,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
23327,,,Seychelles,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
23328,,,Seychelles,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
23329,,,Seychelles,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
23330,,,Seychelles,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
23331,,,Seychelles,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
23332,,,Seychelles,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
23333,,,Seychelles,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
23334,,,Seychelles,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
23335,,,Seychelles,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
23336,,,Seychelles,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
23337,,,Seychelles,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
23338,,,Seychelles,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
23339,,,Seychelles,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
23340,,,Seychelles,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
23341,,,Seychelles,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
23342,,,Seychelles,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
23343,,,Seychelles,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
23344,,,Seychelles,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
23345,,,Seychelles,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
23346,,,Seychelles,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
23347,,,Seychelles,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
23348,,,Seychelles,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
23349,,,Seychelles,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
23350,,,Seychelles,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
23351,,,Seychelles,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
23352,,,Seychelles,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
23353,,,Seychelles,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
23354,,,Seychelles,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
23355,,,Seychelles,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
23356,,,Seychelles,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
23357,,,Seychelles,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
23358,,,Seychelles,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
23359,,,Seychelles,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
23360,,,Seychelles,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
23361,,,Seychelles,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
23362,,,Seychelles,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
23363,,,Seychelles,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
23364,,,Seychelles,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
23365,,,Seychelles,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
23366,,,Seychelles,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
23367,,,Seychelles,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
23368,,,Seychelles,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
23369,,,Seychelles,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
23370,,,Seychelles,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
23371,,,Seychelles,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
23372,,,Seychelles,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
23373,,,Seychelles,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
23374,,,Seychelles,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
23375,,,Seychelles,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
23376,,,Seychelles,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
23377,,,Seychelles,2020-03-14,ConfirmedCases,2.0,Fatalities,0.0
23378,,,Seychelles,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
23379,,,Seychelles,2020-03-16,ConfirmedCases,1.0,Fatalities,0.0
23380,,,Seychelles,2020-03-17,ConfirmedCases,1.0,Fatalities,0.0
23381,,,Seychelles,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
23382,,,Seychelles,2020-03-19,ConfirmedCases,2.0,Fatalities,0.0
23383,,,Seychelles,2020-03-20,ConfirmedCases,1.0,Fatalities,0.0
23384,,,Seychelles,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
23385,,,Seychelles,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
23386,,,Seychelles,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
23387,,,Seychelles,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
23388,,,Seychelles,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
23389,,,Seychelles,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
23390,,,Seychelles,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
23391,,,Seychelles,2020-03-28,ConfirmedCases,1.0,Fatalities,0.0
23392,,,Seychelles,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
23393,,,Seychelles,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
23394,,,Seychelles,2020-03-31,ConfirmedCases,2.0,Fatalities,0.0
23395,,,Seychelles,2020-04-01,ConfirmedCases,0.0,Fatalities,0.0
23396,,,Seychelles,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
23397,,,Seychelles,2020-04-03,ConfirmedCases,0.0,Fatalities,0.0
23398,,,Seychelles,2020-04-04,ConfirmedCases,0.0,Fatalities,0.0
23399,,,Seychelles,2020-04-05,ConfirmedCases,0.0,Fatalities,0.0
23400,,,Seychelles,2020-04-06,ConfirmedCases,1.0,Fatalities,0.0
23401,,,Seychelles,2020-04-07,ConfirmedCases,0.0,Fatalities,0.0
23402,,,Seychelles,2020-04-08,ConfirmedCases,0.0,Fatalities,0.0
23403,,,Seychelles,2020-04-09,ConfirmedCases,0.0,Fatalities,0.0
23404,,,Seychelles,2020-04-10,ConfirmedCases,0.0,Fatalities,0.0
23405,,,Seychelles,2020-04-11,ConfirmedCases,0.0,Fatalities,0.0
23406,,,Seychelles,2020-04-12,ConfirmedCases,0.0,Fatalities,0.0
23407,,,Seychelles,2020-04-13,ConfirmedCases,0.0,Fatalities,0.0
23408,,,Seychelles,2020-04-14,ConfirmedCases,0.0,Fatalities,0.0
23409,,,Seychelles,2020-04-15,ConfirmedCases,0.0,Fatalities,0.0
23410,,,Seychelles,2020-04-16,ConfirmedCases,0.0,Fatalities,0.0
23411,,,Seychelles,2020-04-17,ConfirmedCases,0.0,Fatalities,0.0
23412,,,Seychelles,2020-04-18,ConfirmedCases,0.0,Fatalities,0.0
23413,,,Seychelles,2020-04-19,ConfirmedCases,0.0,Fatalities,0.0
23414,,,Seychelles,2020-04-20,ConfirmedCases,0.0,Fatalities,0.0
23415,,,Seychelles,2020-04-21,ConfirmedCases,0.0,Fatalities,0.0
23416,,,Seychelles,2020-04-22,ConfirmedCases,0.0,Fatalities,0.0
23417,,,Seychelles,2020-04-23,ConfirmedCases,0.0,Fatalities,0.0
23418,,,Seychelles,2020-04-24,ConfirmedCases,0.0,Fatalities,0.0
23419,,,Seychelles,2020-04-25,ConfirmedCases,0.0,Fatalities,0.0
23420,,,Seychelles,2020-04-26,ConfirmedCases,0.0,Fatalities,0.0
23421,,,Seychelles,2020-04-27,ConfirmedCases,0.0,Fatalities,0.0
23422,,,Seychelles,2020-04-28,ConfirmedCases,0.0,Fatalities,0.0
23423,,,Seychelles,2020-04-29,ConfirmedCases,0.0,Fatalities,0.0
23424,,,Seychelles,2020-04-30,ConfirmedCases,0.0,Fatalities,0.0
23425,,,Seychelles,2020-05-01,ConfirmedCases,0.0,Fatalities,0.0
23426,,,Seychelles,2020-05-02,ConfirmedCases,0.0,Fatalities,0.0
23427,,,Seychelles,2020-05-03,ConfirmedCases,0.0,Fatalities,0.0
23428,,,Seychelles,2020-05-04,ConfirmedCases,0.0,Fatalities,0.0
23429,,,Seychelles,2020-05-05,ConfirmedCases,0.0,Fatalities,0.0
