,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
23433,,,Sierra Leone,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
23434,,,Sierra Leone,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
23435,,,Sierra Leone,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
23436,,,Sierra Leone,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
23437,,,Sierra Leone,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
23438,,,Sierra Leone,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
23439,,,Sierra Leone,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
23440,,,Sierra Leone,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
23441,,,Sierra Leone,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
23442,,,Sierra Leone,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
23443,,,Sierra Leone,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
23444,,,Sierra Leone,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
23445,,,Sierra Leone,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
23446,,,Sierra Leone,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
23447,,,Sierra Leone,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
23448,,,Sierra Leone,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
23449,,,Sierra Leone,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
23450,,,Sierra Leone,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
23451,,,Sierra Leone,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
23452,,,Sierra Leone,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
23453,,,Sierra Leone,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
23454,,,Sierra Leone,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
23455,,,Sierra Leone,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
23456,,,Sierra Leone,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
23457,,,Sierra Leone,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
23458,,,Sierra Leone,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
23459,,,Sierra Leone,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
23460,,,Sierra Leone,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
23461,,,Sierra Leone,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
23462,,,Sierra Leone,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
23463,,,Sierra Leone,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
23464,,,Sierra Leone,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
23465,,,Sierra Leone,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
23466,,,Sierra Leone,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
23467,,,Sierra Leone,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
23468,,,Sierra Leone,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
23469,,,Sierra Leone,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
23470,,,Sierra Leone,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
23471,,,Sierra Leone,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
23472,,,Sierra Leone,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
23473,,,Sierra Leone,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
23474,,,Sierra Leone,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
23475,,,Sierra Leone,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
23476,,,Sierra Leone,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
23477,,,Sierra Leone,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
23478,,,Sierra Leone,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
23479,,,Sierra Leone,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
23480,,,Sierra Leone,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
23481,,,Sierra Leone,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
23482,,,Sierra Leone,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
23483,,,Sierra Leone,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
23484,,,Sierra Leone,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
23485,,,Sierra Leone,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
23486,,,Sierra Leone,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
23487,,,Sierra Leone,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
23488,,,Sierra Leone,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
23489,,,Sierra Leone,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
23490,,,Sierra Leone,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
23491,,,Sierra Leone,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
23492,,,Sierra Leone,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
23493,,,Sierra Leone,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
23494,,,Sierra Leone,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
23495,,,Sierra Leone,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
23496,,,Sierra Leone,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
23497,,,Sierra Leone,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
23498,,,Sierra Leone,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
23499,,,Sierra Leone,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
23500,,,Sierra Leone,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
23501,,,Sierra Leone,2020-03-31,ConfirmedCases,1.0,Fatalities,0.0
23502,,,Sierra Leone,2020-04-01,ConfirmedCases,1.0,Fatalities,0.0
23503,,,Sierra Leone,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
23504,,,Sierra Leone,2020-04-03,ConfirmedCases,0.0,Fatalities,0.0
23505,,,Sierra Leone,2020-04-04,ConfirmedCases,2.0,Fatalities,0.0
23506,,,Sierra Leone,2020-04-05,ConfirmedCases,2.0,Fatalities,0.0
23507,,,Sierra Leone,2020-04-06,ConfirmedCases,0.0,Fatalities,0.0
23508,,,Sierra Leone,2020-04-07,ConfirmedCases,0.0,Fatalities,0.0
23509,,,Sierra Leone,2020-04-08,ConfirmedCases,1.0,Fatalities,0.0
23510,,,Sierra Leone,2020-04-09,ConfirmedCases,0.0,Fatalities,0.0
23511,,,Sierra Leone,2020-04-10,ConfirmedCases,1.0,Fatalities,0.0
23512,,,Sierra Leone,2020-04-11,ConfirmedCases,0.0,Fatalities,0.0
23513,,,Sierra Leone,2020-04-12,ConfirmedCases,2.0,Fatalities,0.0
23514,,,Sierra Leone,2020-04-13,ConfirmedCases,0.0,Fatalities,0.0
23515,,,Sierra Leone,2020-04-14,ConfirmedCases,1.0,Fatalities,0.0
23516,,,Sierra Leone,2020-04-15,ConfirmedCases,2.0,Fatalities,0.0
