,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
23540,,,Singapore,2020-01-23,ConfirmedCases,1.0,Fatalities,0.0
23541,,,Singapore,2020-01-24,ConfirmedCases,2.0,Fatalities,0.0
23542,,,Singapore,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
23543,,,Singapore,2020-01-26,ConfirmedCases,1.0,Fatalities,0.0
23544,,,Singapore,2020-01-27,ConfirmedCases,1.0,Fatalities,0.0
23545,,,Singapore,2020-01-28,ConfirmedCases,2.0,Fatalities,0.0
23546,,,Singapore,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
23547,,,Singapore,2020-01-30,ConfirmedCases,3.0,Fatalities,0.0
23548,,,Singapore,2020-01-31,ConfirmedCases,3.0,Fatalities,0.0
23549,,,Singapore,2020-02-01,ConfirmedCases,3.0,Fatalities,0.0
23550,,,Singapore,2020-02-02,ConfirmedCases,2.0,Fatalities,0.0
23551,,,Singapore,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
23552,,,Singapore,2020-02-04,ConfirmedCases,6.0,Fatalities,0.0
23553,,,Singapore,2020-02-05,ConfirmedCases,4.0,Fatalities,0.0
23554,,,Singapore,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
23555,,,Singapore,2020-02-07,ConfirmedCases,2.0,Fatalities,0.0
23556,,,Singapore,2020-02-08,ConfirmedCases,3.0,Fatalities,0.0
23557,,,Singapore,2020-02-09,ConfirmedCases,7.0,Fatalities,0.0
23558,,,Singapore,2020-02-10,ConfirmedCases,5.0,Fatalities,0.0
23559,,,Singapore,2020-02-11,ConfirmedCases,2.0,Fatalities,0.0
23560,,,Singapore,2020-02-12,ConfirmedCases,3.0,Fatalities,0.0
23561,,,Singapore,2020-02-13,ConfirmedCases,8.0,Fatalities,0.0
23562,,,Singapore,2020-02-14,ConfirmedCases,9.0,Fatalities,0.0
23563,,,Singapore,2020-02-15,ConfirmedCases,5.0,Fatalities,0.0
23564,,,Singapore,2020-02-16,ConfirmedCases,3.0,Fatalities,0.0
23565,,,Singapore,2020-02-17,ConfirmedCases,2.0,Fatalities,0.0
23566,,,Singapore,2020-02-18,ConfirmedCases,4.0,Fatalities,0.0
23567,,,Singapore,2020-02-19,ConfirmedCases,3.0,Fatalities,0.0
23568,,,Singapore,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
23569,,,Singapore,2020-02-21,ConfirmedCases,1.0,Fatalities,0.0
23570,,,Singapore,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
23571,,,Singapore,2020-02-23,ConfirmedCases,4.0,Fatalities,0.0
23572,,,Singapore,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
23573,,,Singapore,2020-02-25,ConfirmedCases,2.0,Fatalities,0.0
23574,,,Singapore,2020-02-26,ConfirmedCases,2.0,Fatalities,0.0
23575,,,Singapore,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
23576,,,Singapore,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
23577,,,Singapore,2020-02-29,ConfirmedCases,9.0,Fatalities,0.0
23578,,,Singapore,2020-03-01,ConfirmedCases,4.0,Fatalities,0.0
23579,,,Singapore,2020-03-02,ConfirmedCases,2.0,Fatalities,0.0
23580,,,Singapore,2020-03-03,ConfirmedCases,2.0,Fatalities,0.0
23581,,,Singapore,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
23582,,,Singapore,2020-03-05,ConfirmedCases,7.0,Fatalities,0.0
23583,,,Singapore,2020-03-06,ConfirmedCases,13.0,Fatalities,0.0
23584,,,Singapore,2020-03-07,ConfirmedCases,8.0,Fatalities,0.0
23585,,,Singapore,2020-03-08,ConfirmedCases,12.0,Fatalities,0.0
23586,,,Singapore,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
23587,,,Singapore,2020-03-10,ConfirmedCases,10.0,Fatalities,0.0
23588,,,Singapore,2020-03-11,ConfirmedCases,18.0,Fatalities,0.0
23589,,,Singapore,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
23590,,,Singapore,2020-03-13,ConfirmedCases,22.0,Fatalities,0.0
23591,,,Singapore,2020-03-14,ConfirmedCases,12.0,Fatalities,0.0
23592,,,Singapore,2020-03-15,ConfirmedCases,14.0,Fatalities,0.0
23593,,,Singapore,2020-03-16,ConfirmedCases,17.0,Fatalities,0.0
23594,,,Singapore,2020-03-17,ConfirmedCases,23.0,Fatalities,0.0
23595,,,Singapore,2020-03-18,ConfirmedCases,47.0,Fatalities,0.0
23596,,,Singapore,2020-03-19,ConfirmedCases,32.0,Fatalities,0.0
23597,,,Singapore,2020-03-20,ConfirmedCases,40.0,Fatalities,0.0
23598,,,Singapore,2020-03-21,ConfirmedCases,47.0,Fatalities,2.0
23599,,,Singapore,2020-03-22,ConfirmedCases,23.0,Fatalities,0.0
23600,,,Singapore,2020-03-23,ConfirmedCases,54.0,Fatalities,0.0
23601,,,Singapore,2020-03-24,ConfirmedCases,49.0,Fatalities,0.0
23602,,,Singapore,2020-03-25,ConfirmedCases,73.0,Fatalities,0.0
23603,,,Singapore,2020-03-26,ConfirmedCases,52.0,Fatalities,0.0
23604,,,Singapore,2020-03-27,ConfirmedCases,49.0,Fatalities,0.0
23605,,,Singapore,2020-03-28,ConfirmedCases,70.0,Fatalities,0.0
23606,,,Singapore,2020-03-29,ConfirmedCases,42.0,Fatalities,1.0
23607,,,Singapore,2020-03-30,ConfirmedCases,35.0,Fatalities,0.0
23608,,,Singapore,2020-03-31,ConfirmedCases,47.0,Fatalities,0.0
23609,,,Singapore,2020-04-01,ConfirmedCases,74.0,Fatalities,0.0
23610,,,Singapore,2020-04-02,ConfirmedCases,49.0,Fatalities,1.0
23611,,,Singapore,2020-04-03,ConfirmedCases,65.0,Fatalities,1.0
23612,,,Singapore,2020-04-04,ConfirmedCases,75.0,Fatalities,1.0
23613,,,Singapore,2020-04-05,ConfirmedCases,120.0,Fatalities,0.0
23614,,,Singapore,2020-04-06,ConfirmedCases,66.0,Fatalities,0.0
23615,,,Singapore,2020-04-07,ConfirmedCases,106.0,Fatalities,0.0
23616,,,Singapore,2020-04-08,ConfirmedCases,142.0,Fatalities,0.0
23617,,,Singapore,2020-04-09,ConfirmedCases,287.0,Fatalities,0.0
23618,,,Singapore,2020-04-10,ConfirmedCases,198.0,Fatalities,1.0
23619,,,Singapore,2020-04-11,ConfirmedCases,191.0,Fatalities,1.0
23620,,,Singapore,2020-04-12,ConfirmedCases,233.0,Fatalities,0.0
23621,,,Singapore,2020-04-13,ConfirmedCases,386.0,Fatalities,1.0
23622,,,Singapore,2020-04-14,ConfirmedCases,334.0,Fatalities,1.0
23623,,,Singapore,2020-04-15,ConfirmedCases,447.0,Fatalities,0.0
23624,,,Singapore,2020-04-16,ConfirmedCases,728.0,Fatalities,0.0
23625,,,Singapore,2020-04-17,ConfirmedCases,623.0,Fatalities,1.0
23626,,,Singapore,2020-04-18,ConfirmedCases,942.0,Fatalities,0.0
23627,,,Singapore,2020-04-19,ConfirmedCases,596.0,Fatalities,0.0
23628,,,Singapore,2020-04-20,ConfirmedCases,1426.0,Fatalities,0.0
23629,,,Singapore,2020-04-21,ConfirmedCases,1111.0,Fatalities,0.0
23630,,,Singapore,2020-04-22,ConfirmedCases,1016.0,Fatalities,1.0
23631,,,Singapore,2020-04-23,ConfirmedCases,1037.0,Fatalities,0.0
23632,,,Singapore,2020-04-24,ConfirmedCases,897.0,Fatalities,0.0
23633,,,Singapore,2020-04-25,ConfirmedCases,618.0,Fatalities,0.0
23634,,,Singapore,2020-04-26,ConfirmedCases,931.0,Fatalities,0.0
23635,,,Singapore,2020-04-27,ConfirmedCases,799.0,Fatalities,2.0
23636,,,Singapore,2020-04-28,ConfirmedCases,528.0,Fatalities,0.0
23637,,,Singapore,2020-04-29,ConfirmedCases,690.0,Fatalities,0.0
23638,,,Singapore,2020-04-30,ConfirmedCases,528.0,Fatalities,1.0
23639,,,Singapore,2020-05-01,ConfirmedCases,932.0,Fatalities,1.0
23640,,,Singapore,2020-05-02,ConfirmedCases,447.0,Fatalities,1.0
23641,,,Singapore,2020-05-03,ConfirmedCases,657.0,Fatalities,1.0
23642,,,Singapore,2020-05-04,ConfirmedCases,573.0,Fatalities,0.0
23643,,,Singapore,2020-05-05,ConfirmedCases,632.0,Fatalities,0.0
23644,,,Singapore,2020-05-06,ConfirmedCases,788.0,Fatalities,2.0
23645,,,Singapore,2020-05-07,ConfirmedCases,741.0,Fatalities,0.0
23646,,,Singapore,2020-05-08,ConfirmedCases,768.0,Fatalities,0.0
