,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
23647,,,Slovakia,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
23648,,,Slovakia,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
23649,,,Slovakia,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
23650,,,Slovakia,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
23651,,,Slovakia,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
23652,,,Slovakia,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
23653,,,Slovakia,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
23654,,,Slovakia,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
23655,,,Slovakia,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
23656,,,Slovakia,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
23657,,,Slovakia,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
23658,,,Slovakia,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
23659,,,Slovakia,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
23660,,,Slovakia,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
23661,,,Slovakia,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
23662,,,Slovakia,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
23663,,,Slovakia,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
23664,,,Slovakia,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
23665,,,Slovakia,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
23666,,,Slovakia,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
23667,,,Slovakia,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
23668,,,Slovakia,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
23669,,,Slovakia,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
23670,,,Slovakia,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
23671,,,Slovakia,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
23672,,,Slovakia,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
23673,,,Slovakia,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
23674,,,Slovakia,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
23675,,,Slovakia,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
23676,,,Slovakia,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
23677,,,Slovakia,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
23678,,,Slovakia,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
23679,,,Slovakia,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
23680,,,Slovakia,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
23681,,,Slovakia,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
23682,,,Slovakia,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
23683,,,Slovakia,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
23684,,,Slovakia,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
23685,,,Slovakia,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
23686,,,Slovakia,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
23687,,,Slovakia,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
23688,,,Slovakia,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
23689,,,Slovakia,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
23690,,,Slovakia,2020-03-06,ConfirmedCases,1.0,Fatalities,0.0
23691,,,Slovakia,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
23692,,,Slovakia,2020-03-08,ConfirmedCases,2.0,Fatalities,0.0
23693,,,Slovakia,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
23694,,,Slovakia,2020-03-10,ConfirmedCases,4.0,Fatalities,0.0
23695,,,Slovakia,2020-03-11,ConfirmedCases,3.0,Fatalities,0.0
23696,,,Slovakia,2020-03-12,ConfirmedCases,6.0,Fatalities,0.0
23697,,,Slovakia,2020-03-13,ConfirmedCases,16.0,Fatalities,0.0
23698,,,Slovakia,2020-03-14,ConfirmedCases,12.0,Fatalities,0.0
