,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
23968,,,South Africa,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
23969,,,South Africa,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
23970,,,South Africa,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
23971,,,South Africa,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
23972,,,South Africa,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
23973,,,South Africa,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
23974,,,South Africa,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
23975,,,South Africa,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
23976,,,South Africa,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
23977,,,South Africa,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
23978,,,South Africa,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
23979,,,South Africa,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
23980,,,South Africa,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
23981,,,South Africa,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
23982,,,South Africa,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
23983,,,South Africa,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
23984,,,South Africa,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
23985,,,South Africa,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
23986,,,South Africa,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
23987,,,South Africa,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
23988,,,South Africa,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
23989,,,South Africa,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
23990,,,South Africa,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
23991,,,South Africa,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
23992,,,South Africa,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
23993,,,South Africa,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
23994,,,South Africa,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
23995,,,South Africa,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
23996,,,South Africa,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
23997,,,South Africa,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
23998,,,South Africa,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
23999,,,South Africa,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
24000,,,South Africa,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
24001,,,South Africa,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
24002,,,South Africa,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
24003,,,South Africa,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
24004,,,South Africa,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
24005,,,South Africa,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
24006,,,South Africa,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
24007,,,South Africa,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
24008,,,South Africa,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
24009,,,South Africa,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
24010,,,South Africa,2020-03-05,ConfirmedCases,1.0,Fatalities,0.0
24011,,,South Africa,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
24012,,,South Africa,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
24013,,,South Africa,2020-03-08,ConfirmedCases,2.0,Fatalities,0.0
24014,,,South Africa,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
24015,,,South Africa,2020-03-10,ConfirmedCases,4.0,Fatalities,0.0
24016,,,South Africa,2020-03-11,ConfirmedCases,6.0,Fatalities,0.0
24017,,,South Africa,2020-03-12,ConfirmedCases,4.0,Fatalities,0.0
24018,,,South Africa,2020-03-13,ConfirmedCases,7.0,Fatalities,0.0
24019,,,South Africa,2020-03-14,ConfirmedCases,14.0,Fatalities,0.0
24020,,,South Africa,2020-03-15,ConfirmedCases,13.0,Fatalities,0.0
24021,,,South Africa,2020-03-16,ConfirmedCases,11.0,Fatalities,0.0
24022,,,South Africa,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
24023,,,South Africa,2020-03-18,ConfirmedCases,54.0,Fatalities,0.0
24024,,,South Africa,2020-03-19,ConfirmedCases,34.0,Fatalities,0.0
24025,,,South Africa,2020-03-20,ConfirmedCases,52.0,Fatalities,0.0
24026,,,South Africa,2020-03-21,ConfirmedCases,38.0,Fatalities,0.0
24027,,,South Africa,2020-03-22,ConfirmedCases,34.0,Fatalities,0.0
24028,,,South Africa,2020-03-23,ConfirmedCases,128.0,Fatalities,0.0
24029,,,South Africa,2020-03-24,ConfirmedCases,152.0,Fatalities,0.0
24030,,,South Africa,2020-03-25,ConfirmedCases,155.0,Fatalities,0.0
