,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
24075,,,South Sudan,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
24076,,,South Sudan,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
24077,,,South Sudan,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
24078,,,South Sudan,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
24079,,,South Sudan,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
24080,,,South Sudan,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
24081,,,South Sudan,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
24082,,,South Sudan,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
24083,,,South Sudan,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
24084,,,South Sudan,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
24085,,,South Sudan,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
24086,,,South Sudan,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
24087,,,South Sudan,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
24088,,,South Sudan,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
24089,,,South Sudan,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
24090,,,South Sudan,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
24091,,,South Sudan,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
24092,,,South Sudan,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
24093,,,South Sudan,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
24094,,,South Sudan,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
24095,,,South Sudan,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
24096,,,South Sudan,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
24097,,,South Sudan,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
24098,,,South Sudan,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
24099,,,South Sudan,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
24100,,,South Sudan,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
24101,,,South Sudan,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
24102,,,South Sudan,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
24103,,,South Sudan,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
24104,,,South Sudan,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
24105,,,South Sudan,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
24106,,,South Sudan,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
24107,,,South Sudan,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
24108,,,South Sudan,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
24109,,,South Sudan,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
24110,,,South Sudan,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
24111,,,South Sudan,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
24112,,,South Sudan,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
24113,,,South Sudan,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
24114,,,South Sudan,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
24115,,,South Sudan,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
24116,,,South Sudan,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
24117,,,South Sudan,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
24118,,,South Sudan,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
24119,,,South Sudan,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
24120,,,South Sudan,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
24121,,,South Sudan,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
24122,,,South Sudan,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
24123,,,South Sudan,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
24124,,,South Sudan,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
24125,,,South Sudan,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
24126,,,South Sudan,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
24127,,,South Sudan,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
24128,,,South Sudan,2020-03-16,ConfirmedCases,0.0,Fatalities,0.0
24129,,,South Sudan,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
24130,,,South Sudan,2020-03-18,ConfirmedCases,0.0,Fatalities,0.0
24131,,,South Sudan,2020-03-19,ConfirmedCases,0.0,Fatalities,0.0
24132,,,South Sudan,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
24133,,,South Sudan,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
24134,,,South Sudan,2020-03-22,ConfirmedCases,0.0,Fatalities,0.0
24135,,,South Sudan,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
24136,,,South Sudan,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
24137,,,South Sudan,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
24138,,,South Sudan,2020-03-26,ConfirmedCases,0.0,Fatalities,0.0
24139,,,South Sudan,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
24140,,,South Sudan,2020-03-28,ConfirmedCases,0.0,Fatalities,0.0
24141,,,South Sudan,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
24142,,,South Sudan,2020-03-30,ConfirmedCases,0.0,Fatalities,0.0
24143,,,South Sudan,2020-03-31,ConfirmedCases,0.0,Fatalities,0.0
24144,,,South Sudan,2020-04-01,ConfirmedCases,0.0,Fatalities,0.0
24145,,,South Sudan,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
24146,,,South Sudan,2020-04-03,ConfirmedCases,0.0,Fatalities,0.0
24147,,,South Sudan,2020-04-04,ConfirmedCases,0.0,Fatalities,0.0
24148,,,South Sudan,2020-04-05,ConfirmedCases,1.0,Fatalities,0.0
24149,,,South Sudan,2020-04-06,ConfirmedCases,0.0,Fatalities,0.0
24150,,,South Sudan,2020-04-07,ConfirmedCases,1.0,Fatalities,0.0
24151,,,South Sudan,2020-04-08,ConfirmedCases,0.0,Fatalities,0.0
24152,,,South Sudan,2020-04-09,ConfirmedCases,1.0,Fatalities,0.0
24153,,,South Sudan,2020-04-10,ConfirmedCases,1.0,Fatalities,0.0
24154,,,South Sudan,2020-04-11,ConfirmedCases,0.0,Fatalities,0.0
24155,,,South Sudan,2020-04-12,ConfirmedCases,0.0,Fatalities,0.0
24156,,,South Sudan,2020-04-13,ConfirmedCases,0.0,Fatalities,0.0
24157,,,South Sudan,2020-04-14,ConfirmedCases,0.0,Fatalities,0.0
24158,,,South Sudan,2020-04-15,ConfirmedCases,0.0,Fatalities,0.0
24159,,,South Sudan,2020-04-16,ConfirmedCases,0.0,Fatalities,0.0
24160,,,South Sudan,2020-04-17,ConfirmedCases,0.0,Fatalities,0.0
24161,,,South Sudan,2020-04-18,ConfirmedCases,0.0,Fatalities,0.0
24162,,,South Sudan,2020-04-19,ConfirmedCases,0.0,Fatalities,0.0
24163,,,South Sudan,2020-04-20,ConfirmedCases,0.0,Fatalities,0.0
24164,,,South Sudan,2020-04-21,ConfirmedCases,0.0,Fatalities,0.0
24165,,,South Sudan,2020-04-22,ConfirmedCases,0.0,Fatalities,0.0
24166,,,South Sudan,2020-04-23,ConfirmedCases,1.0,Fatalities,0.0
24167,,,South Sudan,2020-04-24,ConfirmedCases,0.0,Fatalities,0.0
24168,,,South Sudan,2020-04-25,ConfirmedCases,0.0,Fatalities,0.0
24169,,,South Sudan,2020-04-26,ConfirmedCases,1.0,Fatalities,0.0
24170,,,South Sudan,2020-04-27,ConfirmedCases,0.0,Fatalities,0.0
24171,,,South Sudan,2020-04-28,ConfirmedCases,28.0,Fatalities,0.0
24172,,,South Sudan,2020-04-29,ConfirmedCases,0.0,Fatalities,0.0
24173,,,South Sudan,2020-04-30,ConfirmedCases,1.0,Fatalities,0.0
24174,,,South Sudan,2020-05-01,ConfirmedCases,10.0,Fatalities,0.0
24175,,,South Sudan,2020-05-02,ConfirmedCases,0.0,Fatalities,0.0
24176,,,South Sudan,2020-05-03,ConfirmedCases,1.0,Fatalities,0.0
24177,,,South Sudan,2020-05-04,ConfirmedCases,0.0,Fatalities,0.0
24178,,,South Sudan,2020-05-05,ConfirmedCases,6.0,Fatalities,0.0
24179,,,South Sudan,2020-05-06,ConfirmedCases,6.0,Fatalities,0.0
24180,,,South Sudan,2020-05-07,ConfirmedCases,16.0,Fatalities,0.0
24181,,,South Sudan,2020-05-08,ConfirmedCases,46.0,Fatalities,0.0
