,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
24274,,,Spain,4/24/2020,ConfirmedCases,10034,Fatalities,367
24182,,,Spain,1/23/2020,ConfirmedCases,0,Fatalities,0
24183,,,Spain,1/24/2020,ConfirmedCases,0,Fatalities,0
24184,,,Spain,1/25/2020,ConfirmedCases,0,Fatalities,0
24185,,,Spain,1/26/2020,ConfirmedCases,0,Fatalities,0
24186,,,Spain,1/27/2020,ConfirmedCases,0,Fatalities,0
24187,,,Spain,1/28/2020,ConfirmedCases,0,Fatalities,0
24188,,,Spain,1/29/2020,ConfirmedCases,0,Fatalities,0
24189,,,Spain,1/30/2020,ConfirmedCases,0,Fatalities,0
24190,,,Spain,1/31/2020,ConfirmedCases,0,Fatalities,0
24192,,,Spain,2/2/2020,ConfirmedCases,0,Fatalities,0
24193,,,Spain,2/3/2020,ConfirmedCases,0,Fatalities,0
24194,,,Spain,2/4/2020,ConfirmedCases,0,Fatalities,0
24195,,,Spain,2/5/2020,ConfirmedCases,0,Fatalities,0
24196,,,Spain,2/6/2020,ConfirmedCases,0,Fatalities,0
24197,,,Spain,2/7/2020,ConfirmedCases,0,Fatalities,0
24198,,,Spain,2/8/2020,ConfirmedCases,0,Fatalities,0
24200,,,Spain,2/10/2020,ConfirmedCases,0,Fatalities,0
24201,,,Spain,2/11/2020,ConfirmedCases,0,Fatalities,0
24202,,,Spain,2/12/2020,ConfirmedCases,0,Fatalities,0
24203,,,Spain,2/13/2020,ConfirmedCases,0,Fatalities,0
24204,,,Spain,2/14/2020,ConfirmedCases,0,Fatalities,0
24205,,,Spain,2/15/2020,ConfirmedCases,0,Fatalities,0
24206,,,Spain,2/16/2020,ConfirmedCases,0,Fatalities,0
24207,,,Spain,2/17/2020,ConfirmedCases,0,Fatalities,0
24208,,,Spain,2/18/2020,ConfirmedCases,0,Fatalities,0
24209,,,Spain,2/19/2020,ConfirmedCases,0,Fatalities,0
24210,,,Spain,2/20/2020,ConfirmedCases,0,Fatalities,0
24211,,,Spain,2/21/2020,ConfirmedCases,0,Fatalities,0
24212,,,Spain,2/22/2020,ConfirmedCases,0,Fatalities,0
24213,,,Spain,2/23/2020,ConfirmedCases,0,Fatalities,0
24214,,,Spain,2/24/2020,ConfirmedCases,0,Fatalities,0
24231,,,Spain,3/12/2020,ConfirmedCases,0,Fatalities,1
24281,,,Spain,5/1/2020,ConfirmedCases,0,Fatalities,0
24191,,,Spain,2/1/2020,ConfirmedCases,1,Fatalities,0
24199,,,Spain,2/9/2020,ConfirmedCases,1,Fatalities,0
24217,,,Spain,2/27/2020,ConfirmedCases,2,Fatalities,0
24215,,,Spain,2/25/2020,ConfirmedCases,4,Fatalities,0
24216,,,Spain,2/26/2020,ConfirmedCases,7,Fatalities,0
24219,,,Spain,2/29/2020,ConfirmedCases,13,Fatalities,0
24218,,,Spain,2/28/2020,ConfirmedCases,17,Fatalities,0
24221,,,Spain,3/2/2020,ConfirmedCases,36,Fatalities,0
24224,,,Spain,3/5/2020,ConfirmedCases,37,Fatalities,1
24220,,,Spain,3/1/2020,ConfirmedCases,39,Fatalities,0
24222,,,Spain,3/3/2020,ConfirmedCases,45,Fatalities,1
24223,,,Spain,3/4/2020,ConfirmedCases,57,Fatalities,1
24226,,,Spain,3/7/2020,ConfirmedCases,100,Fatalities,5
24225,,,Spain,3/6/2020,ConfirmedCases,141,Fatalities,2
24227,,,Spain,3/8/2020,ConfirmedCases,173,Fatalities,7
24228,,,Spain,3/9/2020,ConfirmedCases,400,Fatalities,11
24280,,,Spain,4/30/2020,ConfirmedCases,518,Fatalities,268
24284,,,Spain,5/4/2020,ConfirmedCases,545,Fatalities,164
24230,,,Spain,3/11/2020,ConfirmedCases,582,Fatalities,19
24229,,,Spain,3/10/2020,ConfirmedCases,622,Fatalities,7
24283,,,Spain,5/3/2020,ConfirmedCases,884,Fatalities,164
24268,,,Spain,4/18/2020,ConfirmedCases,887,Fatalities,41
24286,,,Spain,5/6/2020,ConfirmedCases,996,Fatalities,244
24287,,,Spain,5/7/2020,ConfirmedCases,1122,Fatalities,213
24233,,,Spain,3/14/2020,ConfirmedCases,1159,Fatalities,62
24278,,,Spain,4/28/2020,ConfirmedCases,1308,Fatalities,301
24285,,,Spain,5/5/2020,ConfirmedCases,1318,Fatalities,185
24234,,,Spain,3/15/2020,ConfirmedCases,1407,Fatalities,94
24288,,,Spain,5/8/2020,ConfirmedCases,1410,Fatalities,229
24270,,,Spain,4/20/2020,ConfirmedCases,1536,Fatalities,399
24276,,,Spain,4/26/2020,ConfirmedCases,1729,Fatalities,288
24236,,,Spain,3/17/2020,ConfirmedCases,1806,Fatalities,191
24277,,,Spain,4/27/2020,ConfirmedCases,1831,Fatalities,331
24235,,,Spain,3/16/2020,ConfirmedCases,2144,Fatalities,53
24279,,,Spain,4/29/2020,ConfirmedCases,2144,Fatalities,453
24237,,,Spain,3/18/2020,ConfirmedCases,2162,Fatalities,90
24264,,,Spain,4/14/2020,ConfirmedCases,2442,Fatalities,300
24239,,,Spain,3/20/2020,ConfirmedCases,2447,Fatalities,213
24275,,,Spain,4/25/2020,ConfirmedCases,2915,Fatalities,378
24232,,,Spain,3/13/2020,ConfirmedCases,2955,Fatalities,78
24282,,,Spain,5/2/2020,ConfirmedCases,3147,Fatalities,557
24263,,,Spain,4/13/2020,ConfirmedCases,3268,Fatalities,547
24241,,,Spain,3/22/2020,ConfirmedCases,3394,Fatalities,397
24262,,,Spain,4/12/2020,ConfirmedCases,3804,Fatalities,603
24271,,,Spain,4/21/2020,ConfirmedCases,3968,Fatalities,430
24238,,,Spain,3/19/2020,ConfirmedCases,4053,Fatalities,207
24272,,,Spain,4/22/2020,ConfirmedCases,4211,Fatalities,435
24273,,,Spain,4/23/2020,ConfirmedCases,4635,Fatalities,440
24243,,,Spain,3/24/2020,ConfirmedCases,4749,Fatalities,497
24261,,,Spain,4/11/2020,ConfirmedCases,4754,Fatalities,525
24240,,,Spain,3/21/2020,ConfirmedCases,4964,Fatalities,332
24259,,,Spain,4/9/2020,ConfirmedCases,5002,Fatalities,655
24256,,,Spain,4/6/2020,ConfirmedCases,5029,Fatalities,700
24260,,,Spain,4/10/2020,ConfirmedCases,5051,Fatalities,634
24265,,,Spain,4/15/2020,ConfirmedCases,5103,Fatalities,652
24257,,,Spain,4/7/2020,ConfirmedCases,5267,Fatalities,704
24255,,,Spain,4/5/2020,ConfirmedCases,5478,Fatalities,694
24267,,,Spain,4/17/2020,ConfirmedCases,5891,Fatalities,687
24258,,,Spain,4/8/2020,ConfirmedCases,6278,Fatalities,747
24242,,,Spain,3/23/2020,ConfirmedCases,6368,Fatalities,539
24248,,,Spain,3/29/2020,ConfirmedCases,6875,Fatalities,821
24269,,,Spain,4/19/2020,ConfirmedCases,6948,Fatalities,410
24254,,,Spain,4/4/2020,ConfirmedCases,6969,Fatalities,749
24253,,,Spain,4/3/2020,ConfirmedCases,7134,Fatalities,850
24266,,,Spain,4/16/2020,ConfirmedCases,7304,Fatalities,607
24247,,,Spain,3/28/2020,ConfirmedCases,7516,Fatalities,844
24249,,,Spain,3/30/2020,ConfirmedCases,7846,Fatalities,913
24246,,,Spain,3/27/2020,ConfirmedCases,7933,Fatalities,773
24252,,,Spain,4/2/2020,ConfirmedCases,7947,Fatalities,961
24250,,,Spain,3/31/2020,ConfirmedCases,7967,Fatalities,748
24251,,,Spain,4/1/2020,ConfirmedCases,8195,Fatalities,923
24245,,,Spain,3/26/2020,ConfirmedCases,8271,Fatalities,718
24244,,,Spain,3/25/2020,ConfirmedCases,9630,Fatalities,839
