,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
24289,,,Sri Lanka,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
24290,,,Sri Lanka,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
24291,,,Sri Lanka,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
24292,,,Sri Lanka,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
24293,,,Sri Lanka,2020-01-27,ConfirmedCases,1.0,Fatalities,0.0
24294,,,Sri Lanka,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
24295,,,Sri Lanka,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
24296,,,Sri Lanka,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
24297,,,Sri Lanka,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
24298,,,Sri Lanka,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
24299,,,Sri Lanka,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
24300,,,Sri Lanka,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
24301,,,Sri Lanka,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
24302,,,Sri Lanka,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
24303,,,Sri Lanka,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
24304,,,Sri Lanka,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
24305,,,Sri Lanka,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
24306,,,Sri Lanka,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
24307,,,Sri Lanka,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
24308,,,Sri Lanka,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
24309,,,Sri Lanka,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
24310,,,Sri Lanka,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
24311,,,Sri Lanka,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
24312,,,Sri Lanka,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
24313,,,Sri Lanka,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
24314,,,Sri Lanka,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
24315,,,Sri Lanka,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
24316,,,Sri Lanka,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
24317,,,Sri Lanka,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
24318,,,Sri Lanka,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
24319,,,Sri Lanka,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
24320,,,Sri Lanka,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
24321,,,Sri Lanka,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
24322,,,Sri Lanka,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
24323,,,Sri Lanka,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
24324,,,Sri Lanka,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
24325,,,Sri Lanka,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
24326,,,Sri Lanka,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
24327,,,Sri Lanka,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
24328,,,Sri Lanka,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
24329,,,Sri Lanka,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
24330,,,Sri Lanka,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
24331,,,Sri Lanka,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
24332,,,Sri Lanka,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
24333,,,Sri Lanka,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
24334,,,Sri Lanka,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
24335,,,Sri Lanka,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
24336,,,Sri Lanka,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
