,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
24610,,,Sweden,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
24611,,,Sweden,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
24612,,,Sweden,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
24613,,,Sweden,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
24614,,,Sweden,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
24615,,,Sweden,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
24616,,,Sweden,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
24617,,,Sweden,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
24618,,,Sweden,2020-01-31,ConfirmedCases,1.0,Fatalities,0.0
24619,,,Sweden,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
24620,,,Sweden,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
24621,,,Sweden,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
24622,,,Sweden,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
24623,,,Sweden,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
24624,,,Sweden,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
24625,,,Sweden,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
24626,,,Sweden,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
24627,,,Sweden,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
24628,,,Sweden,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
24629,,,Sweden,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
24630,,,Sweden,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
24631,,,Sweden,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
24632,,,Sweden,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
24633,,,Sweden,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
24634,,,Sweden,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
24635,,,Sweden,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
24636,,,Sweden,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
24637,,,Sweden,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
24638,,,Sweden,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
24639,,,Sweden,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
24640,,,Sweden,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
24641,,,Sweden,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
24642,,,Sweden,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
24643,,,Sweden,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
24644,,,Sweden,2020-02-26,ConfirmedCases,1.0,Fatalities,0.0
24645,,,Sweden,2020-02-27,ConfirmedCases,5.0,Fatalities,0.0
24646,,,Sweden,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
24647,,,Sweden,2020-02-29,ConfirmedCases,5.0,Fatalities,0.0
