,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
24931,,,Taiwan*,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
24932,,,Taiwan*,2020-01-24,ConfirmedCases,2.0,Fatalities,0.0
24933,,,Taiwan*,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
24934,,,Taiwan*,2020-01-26,ConfirmedCases,1.0,Fatalities,0.0
24935,,,Taiwan*,2020-01-27,ConfirmedCases,1.0,Fatalities,0.0
24936,,,Taiwan*,2020-01-28,ConfirmedCases,3.0,Fatalities,0.0
24937,,,Taiwan*,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
24938,,,Taiwan*,2020-01-30,ConfirmedCases,1.0,Fatalities,0.0
24939,,,Taiwan*,2020-01-31,ConfirmedCases,1.0,Fatalities,0.0
24940,,,Taiwan*,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
24941,,,Taiwan*,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
24942,,,Taiwan*,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
24943,,,Taiwan*,2020-02-04,ConfirmedCases,1.0,Fatalities,0.0
24944,,,Taiwan*,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
24945,,,Taiwan*,2020-02-06,ConfirmedCases,5.0,Fatalities,0.0
24946,,,Taiwan*,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
24947,,,Taiwan*,2020-02-08,ConfirmedCases,1.0,Fatalities,0.0
24948,,,Taiwan*,2020-02-09,ConfirmedCases,1.0,Fatalities,0.0
24949,,,Taiwan*,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
24950,,,Taiwan*,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
24951,,,Taiwan*,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
24952,,,Taiwan*,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
24953,,,Taiwan*,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
24954,,,Taiwan*,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
24955,,,Taiwan*,2020-02-16,ConfirmedCases,2.0,Fatalities,1.0
24956,,,Taiwan*,2020-02-17,ConfirmedCases,2.0,Fatalities,0.0
24957,,,Taiwan*,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
24958,,,Taiwan*,2020-02-19,ConfirmedCases,1.0,Fatalities,0.0
