,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
25145,,,Tanzania,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
25146,,,Tanzania,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
25147,,,Tanzania,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
25148,,,Tanzania,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
25149,,,Tanzania,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
25150,,,Tanzania,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
25151,,,Tanzania,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
25152,,,Tanzania,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
25153,,,Tanzania,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
25154,,,Tanzania,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
25155,,,Tanzania,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
25156,,,Tanzania,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
25157,,,Tanzania,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
25158,,,Tanzania,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
25159,,,Tanzania,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
25160,,,Tanzania,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
25161,,,Tanzania,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
25162,,,Tanzania,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
25163,,,Tanzania,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
25164,,,Tanzania,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
25165,,,Tanzania,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
25166,,,Tanzania,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
25167,,,Tanzania,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
25168,,,Tanzania,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
25169,,,Tanzania,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
25170,,,Tanzania,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
25171,,,Tanzania,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
25172,,,Tanzania,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
25173,,,Tanzania,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
25174,,,Tanzania,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
25175,,,Tanzania,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
25176,,,Tanzania,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
25177,,,Tanzania,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
25178,,,Tanzania,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
25179,,,Tanzania,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
25180,,,Tanzania,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
25181,,,Tanzania,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
25182,,,Tanzania,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
25183,,,Tanzania,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
25184,,,Tanzania,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
25185,,,Tanzania,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
25186,,,Tanzania,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
25187,,,Tanzania,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
25188,,,Tanzania,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
25189,,,Tanzania,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
25190,,,Tanzania,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
25191,,,Tanzania,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
25192,,,Tanzania,2020-03-10,ConfirmedCases,0.0,Fatalities,0.0
25193,,,Tanzania,2020-03-11,ConfirmedCases,0.0,Fatalities,0.0
25194,,,Tanzania,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
25195,,,Tanzania,2020-03-13,ConfirmedCases,0.0,Fatalities,0.0
25196,,,Tanzania,2020-03-14,ConfirmedCases,0.0,Fatalities,0.0
25197,,,Tanzania,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
25198,,,Tanzania,2020-03-16,ConfirmedCases,1.0,Fatalities,0.0
25199,,,Tanzania,2020-03-17,ConfirmedCases,0.0,Fatalities,0.0
25200,,,Tanzania,2020-03-18,ConfirmedCases,2.0,Fatalities,0.0
25201,,,Tanzania,2020-03-19,ConfirmedCases,3.0,Fatalities,0.0
25202,,,Tanzania,2020-03-20,ConfirmedCases,0.0,Fatalities,0.0
25203,,,Tanzania,2020-03-21,ConfirmedCases,0.0,Fatalities,0.0
25204,,,Tanzania,2020-03-22,ConfirmedCases,6.0,Fatalities,0.0
25205,,,Tanzania,2020-03-23,ConfirmedCases,0.0,Fatalities,0.0
25206,,,Tanzania,2020-03-24,ConfirmedCases,0.0,Fatalities,0.0
25207,,,Tanzania,2020-03-25,ConfirmedCases,0.0,Fatalities,0.0
25208,,,Tanzania,2020-03-26,ConfirmedCases,1.0,Fatalities,0.0
25209,,,Tanzania,2020-03-27,ConfirmedCases,0.0,Fatalities,0.0
25210,,,Tanzania,2020-03-28,ConfirmedCases,1.0,Fatalities,0.0
25211,,,Tanzania,2020-03-29,ConfirmedCases,0.0,Fatalities,0.0
25212,,,Tanzania,2020-03-30,ConfirmedCases,5.0,Fatalities,0.0
25213,,,Tanzania,2020-03-31,ConfirmedCases,0.0,Fatalities,1.0
25214,,,Tanzania,2020-04-01,ConfirmedCases,1.0,Fatalities,0.0
25215,,,Tanzania,2020-04-02,ConfirmedCases,0.0,Fatalities,0.0
25216,,,Tanzania,2020-04-03,ConfirmedCases,0.0,Fatalities,0.0
25217,,,Tanzania,2020-04-04,ConfirmedCases,0.0,Fatalities,0.0
25218,,,Tanzania,2020-04-05,ConfirmedCases,2.0,Fatalities,0.0
25219,,,Tanzania,2020-04-06,ConfirmedCases,2.0,Fatalities,0.0
25220,,,Tanzania,2020-04-07,ConfirmedCases,0.0,Fatalities,0.0
25221,,,Tanzania,2020-04-08,ConfirmedCases,1.0,Fatalities,0.0
25222,,,Tanzania,2020-04-09,ConfirmedCases,0.0,Fatalities,0.0
25223,,,Tanzania,2020-04-10,ConfirmedCases,7.0,Fatalities,2.0
25224,,,Tanzania,2020-04-11,ConfirmedCases,0.0,Fatalities,0.0
25225,,,Tanzania,2020-04-12,ConfirmedCases,0.0,Fatalities,0.0
25226,,,Tanzania,2020-04-13,ConfirmedCases,17.0,Fatalities,0.0
25227,,,Tanzania,2020-04-14,ConfirmedCases,4.0,Fatalities,0.0
25228,,,Tanzania,2020-04-15,ConfirmedCases,35.0,Fatalities,1.0
25229,,,Tanzania,2020-04-16,ConfirmedCases,6.0,Fatalities,0.0
25230,,,Tanzania,2020-04-17,ConfirmedCases,53.0,Fatalities,1.0
25231,,,Tanzania,2020-04-18,ConfirmedCases,0.0,Fatalities,0.0
25232,,,Tanzania,2020-04-19,ConfirmedCases,23.0,Fatalities,2.0
25233,,,Tanzania,2020-04-20,ConfirmedCases,84.0,Fatalities,3.0
25234,,,Tanzania,2020-04-21,ConfirmedCases,0.0,Fatalities,0.0
25235,,,Tanzania,2020-04-22,ConfirmedCases,30.0,Fatalities,0.0
25236,,,Tanzania,2020-04-23,ConfirmedCases,0.0,Fatalities,0.0
25237,,,Tanzania,2020-04-24,ConfirmedCases,15.0,Fatalities,0.0
25238,,,Tanzania,2020-04-25,ConfirmedCases,0.0,Fatalities,0.0
25239,,,Tanzania,2020-04-26,ConfirmedCases,0.0,Fatalities,0.0
25240,,,Tanzania,2020-04-27,ConfirmedCases,0.0,Fatalities,0.0
25241,,,Tanzania,2020-04-28,ConfirmedCases,0.0,Fatalities,0.0
25242,,,Tanzania,2020-04-29,ConfirmedCases,181.0,Fatalities,6.0
25243,,,Tanzania,2020-04-30,ConfirmedCases,0.0,Fatalities,0.0
25244,,,Tanzania,2020-05-01,ConfirmedCases,0.0,Fatalities,0.0
25245,,,Tanzania,2020-05-02,ConfirmedCases,0.0,Fatalities,0.0
25246,,,Tanzania,2020-05-03,ConfirmedCases,0.0,Fatalities,0.0
25247,,,Tanzania,2020-05-04,ConfirmedCases,0.0,Fatalities,0.0
25248,,,Tanzania,2020-05-05,ConfirmedCases,0.0,Fatalities,0.0
25249,,,Tanzania,2020-05-06,ConfirmedCases,0.0,Fatalities,0.0
25250,,,Tanzania,2020-05-07,ConfirmedCases,0.0,Fatalities,0.0
25251,,,Tanzania,2020-05-08,ConfirmedCases,29.0,Fatalities,5.0
