,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
25252,,,Thailand,2020-01-23,ConfirmedCases,1.0,Fatalities,0.0
25253,,,Thailand,2020-01-24,ConfirmedCases,2.0,Fatalities,0.0
25254,,,Thailand,2020-01-25,ConfirmedCases,2.0,Fatalities,0.0
25255,,,Thailand,2020-01-26,ConfirmedCases,1.0,Fatalities,0.0
25256,,,Thailand,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
25257,,,Thailand,2020-01-28,ConfirmedCases,6.0,Fatalities,0.0
25258,,,Thailand,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
25259,,,Thailand,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
25260,,,Thailand,2020-01-31,ConfirmedCases,5.0,Fatalities,0.0
25261,,,Thailand,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
25262,,,Thailand,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
25263,,,Thailand,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
25264,,,Thailand,2020-02-04,ConfirmedCases,6.0,Fatalities,0.0
25265,,,Thailand,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
25266,,,Thailand,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
25267,,,Thailand,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
25268,,,Thailand,2020-02-08,ConfirmedCases,7.0,Fatalities,0.0
25269,,,Thailand,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
25270,,,Thailand,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
25271,,,Thailand,2020-02-11,ConfirmedCases,1.0,Fatalities,0.0
25272,,,Thailand,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
25273,,,Thailand,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
25274,,,Thailand,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
25275,,,Thailand,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
25276,,,Thailand,2020-02-16,ConfirmedCases,1.0,Fatalities,0.0
25277,,,Thailand,2020-02-17,ConfirmedCases,1.0,Fatalities,0.0
25278,,,Thailand,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
25279,,,Thailand,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
25280,,,Thailand,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
25281,,,Thailand,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
25282,,,Thailand,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
25283,,,Thailand,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
25284,,,Thailand,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
25285,,,Thailand,2020-02-25,ConfirmedCases,2.0,Fatalities,0.0
25286,,,Thailand,2020-02-26,ConfirmedCases,3.0,Fatalities,0.0
25287,,,Thailand,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
25288,,,Thailand,2020-02-28,ConfirmedCases,1.0,Fatalities,0.0
25289,,,Thailand,2020-02-29,ConfirmedCases,1.0,Fatalities,0.0
25290,,,Thailand,2020-03-01,ConfirmedCases,0.0,Fatalities,1.0
25291,,,Thailand,2020-03-02,ConfirmedCases,1.0,Fatalities,0.0
25292,,,Thailand,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
25293,,,Thailand,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
25294,,,Thailand,2020-03-05,ConfirmedCases,4.0,Fatalities,0.0
25295,,,Thailand,2020-03-06,ConfirmedCases,1.0,Fatalities,0.0
25296,,,Thailand,2020-03-07,ConfirmedCases,2.0,Fatalities,0.0
25297,,,Thailand,2020-03-08,ConfirmedCases,0.0,Fatalities,0.0
25298,,,Thailand,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
25299,,,Thailand,2020-03-10,ConfirmedCases,3.0,Fatalities,0.0
25300,,,Thailand,2020-03-11,ConfirmedCases,6.0,Fatalities,0.0
25301,,,Thailand,2020-03-12,ConfirmedCases,11.0,Fatalities,0.0
25302,,,Thailand,2020-03-13,ConfirmedCases,5.0,Fatalities,0.0
25303,,,Thailand,2020-03-14,ConfirmedCases,7.0,Fatalities,0.0
25304,,,Thailand,2020-03-15,ConfirmedCases,32.0,Fatalities,0.0
25305,,,Thailand,2020-03-16,ConfirmedCases,33.0,Fatalities,0.0
25306,,,Thailand,2020-03-17,ConfirmedCases,30.0,Fatalities,0.0
25307,,,Thailand,2020-03-18,ConfirmedCases,35.0,Fatalities,0.0
25308,,,Thailand,2020-03-19,ConfirmedCases,60.0,Fatalities,0.0
25309,,,Thailand,2020-03-20,ConfirmedCases,50.0,Fatalities,0.0
25310,,,Thailand,2020-03-21,ConfirmedCases,89.0,Fatalities,0.0
25311,,,Thailand,2020-03-22,ConfirmedCases,188.0,Fatalities,0.0
25312,,,Thailand,2020-03-23,ConfirmedCases,122.0,Fatalities,0.0
25313,,,Thailand,2020-03-24,ConfirmedCases,106.0,Fatalities,3.0
25314,,,Thailand,2020-03-25,ConfirmedCases,107.0,Fatalities,0.0
25315,,,Thailand,2020-03-26,ConfirmedCases,111.0,Fatalities,0.0
25316,,,Thailand,2020-03-27,ConfirmedCases,91.0,Fatalities,1.0
25317,,,Thailand,2020-03-28,ConfirmedCases,109.0,Fatalities,1.0
25318,,,Thailand,2020-03-29,ConfirmedCases,143.0,Fatalities,1.0
25319,,,Thailand,2020-03-30,ConfirmedCases,136.0,Fatalities,2.0
25320,,,Thailand,2020-03-31,ConfirmedCases,127.0,Fatalities,1.0
25321,,,Thailand,2020-04-01,ConfirmedCases,120.0,Fatalities,2.0
25322,,,Thailand,2020-04-02,ConfirmedCases,104.0,Fatalities,3.0
25323,,,Thailand,2020-04-03,ConfirmedCases,103.0,Fatalities,4.0
25324,,,Thailand,2020-04-04,ConfirmedCases,89.0,Fatalities,1.0
25325,,,Thailand,2020-04-05,ConfirmedCases,102.0,Fatalities,3.0
25326,,,Thailand,2020-04-06,ConfirmedCases,51.0,Fatalities,3.0
25327,,,Thailand,2020-04-07,ConfirmedCases,38.0,Fatalities,1.0
25328,,,Thailand,2020-04-08,ConfirmedCases,111.0,Fatalities,3.0
25329,,,Thailand,2020-04-09,ConfirmedCases,54.0,Fatalities,2.0
25330,,,Thailand,2020-04-10,ConfirmedCases,50.0,Fatalities,1.0
25331,,,Thailand,2020-04-11,ConfirmedCases,45.0,Fatalities,2.0
25332,,,Thailand,2020-04-12,ConfirmedCases,33.0,Fatalities,3.0
25333,,,Thailand,2020-04-13,ConfirmedCases,28.0,Fatalities,2.0
25334,,,Thailand,2020-04-14,ConfirmedCases,34.0,Fatalities,1.0
25335,,,Thailand,2020-04-15,ConfirmedCases,30.0,Fatalities,2.0
25336,,,Thailand,2020-04-16,ConfirmedCases,29.0,Fatalities,3.0
25337,,,Thailand,2020-04-17,ConfirmedCases,28.0,Fatalities,1.0
25338,,,Thailand,2020-04-18,ConfirmedCases,33.0,Fatalities,0.0
25339,,,Thailand,2020-04-19,ConfirmedCases,32.0,Fatalities,0.0
25340,,,Thailand,2020-04-20,ConfirmedCases,27.0,Fatalities,0.0
25341,,,Thailand,2020-04-21,ConfirmedCases,19.0,Fatalities,1.0
25342,,,Thailand,2020-04-22,ConfirmedCases,15.0,Fatalities,1.0
25343,,,Thailand,2020-04-23,ConfirmedCases,13.0,Fatalities,1.0
25344,,,Thailand,2020-04-24,ConfirmedCases,68.0,Fatalities,1.0
25345,,,Thailand,2020-04-25,ConfirmedCases,0.0,Fatalities,0.0
25346,,,Thailand,2020-04-26,ConfirmedCases,15.0,Fatalities,0.0
25347,,,Thailand,2020-04-27,ConfirmedCases,9.0,Fatalities,1.0
25348,,,Thailand,2020-04-28,ConfirmedCases,7.0,Fatalities,2.0
25349,,,Thailand,2020-04-29,ConfirmedCases,9.0,Fatalities,0.0
25350,,,Thailand,2020-04-30,ConfirmedCases,7.0,Fatalities,0.0
25351,,,Thailand,2020-05-01,ConfirmedCases,6.0,Fatalities,0.0
25352,,,Thailand,2020-05-02,ConfirmedCases,6.0,Fatalities,0.0
25353,,,Thailand,2020-05-03,ConfirmedCases,3.0,Fatalities,0.0
25354,,,Thailand,2020-05-04,ConfirmedCases,18.0,Fatalities,0.0
25355,,,Thailand,2020-05-05,ConfirmedCases,1.0,Fatalities,0.0
25356,,,Thailand,2020-05-06,ConfirmedCases,1.0,Fatalities,1.0
25357,,,Thailand,2020-05-07,ConfirmedCases,3.0,Fatalities,0.0
25358,,,Thailand,2020-05-08,ConfirmedCases,8.0,Fatalities,0.0
