,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
25359,,,Timor-Leste,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
25360,,,Timor-Leste,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
25361,,,Timor-Leste,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
25362,,,Timor-Leste,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
25363,,,Timor-Leste,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
25364,,,Timor-Leste,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
25365,,,Timor-Leste,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
25366,,,Timor-Leste,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
25367,,,Timor-Leste,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
25368,,,Timor-Leste,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
25369,,,Timor-Leste,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
25370,,,Timor-Leste,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
25371,,,Timor-Leste,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
25372,,,Timor-Leste,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
25373,,,Timor-Leste,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
25374,,,Timor-Leste,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
25375,,,Timor-Leste,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
25376,,,Timor-Leste,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
25377,,,Timor-Leste,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
25378,,,Timor-Leste,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
25379,,,Timor-Leste,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
25380,,,Timor-Leste,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
25381,,,Timor-Leste,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
25382,,,Timor-Leste,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
25383,,,Timor-Leste,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
25384,,,Timor-Leste,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
25385,,,Timor-Leste,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
25386,,,Timor-Leste,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
