,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
25466,,,Togo,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
25467,,,Togo,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
25468,,,Togo,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
25469,,,Togo,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
25470,,,Togo,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
25471,,,Togo,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
25472,,,Togo,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
25473,,,Togo,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
25474,,,Togo,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
25475,,,Togo,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
25476,,,Togo,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
25477,,,Togo,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
25478,,,Togo,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
25479,,,Togo,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
25480,,,Togo,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
25481,,,Togo,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
25482,,,Togo,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
25483,,,Togo,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
25484,,,Togo,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
25485,,,Togo,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
25486,,,Togo,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
25487,,,Togo,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
25488,,,Togo,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
25489,,,Togo,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
25490,,,Togo,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
25491,,,Togo,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
25492,,,Togo,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
25493,,,Togo,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
25494,,,Togo,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
25495,,,Togo,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
25496,,,Togo,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
25497,,,Togo,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
25498,,,Togo,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
25499,,,Togo,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
25500,,,Togo,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
25501,,,Togo,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
25502,,,Togo,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
25503,,,Togo,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
