,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
25573,,,Trinidad and Tobago,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
25574,,,Trinidad and Tobago,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
25575,,,Trinidad and Tobago,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
25576,,,Trinidad and Tobago,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
25577,,,Trinidad and Tobago,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
25578,,,Trinidad and Tobago,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
25579,,,Trinidad and Tobago,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
25580,,,Trinidad and Tobago,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
25581,,,Trinidad and Tobago,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
25582,,,Trinidad and Tobago,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
25583,,,Trinidad and Tobago,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
25584,,,Trinidad and Tobago,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
25585,,,Trinidad and Tobago,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
25586,,,Trinidad and Tobago,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
25587,,,Trinidad and Tobago,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
25588,,,Trinidad and Tobago,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
25589,,,Trinidad and Tobago,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
25590,,,Trinidad and Tobago,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
25591,,,Trinidad and Tobago,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
25592,,,Trinidad and Tobago,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
25593,,,Trinidad and Tobago,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
25594,,,Trinidad and Tobago,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
25595,,,Trinidad and Tobago,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
25596,,,Trinidad and Tobago,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
25597,,,Trinidad and Tobago,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
25598,,,Trinidad and Tobago,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
25599,,,Trinidad and Tobago,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
25600,,,Trinidad and Tobago,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
25601,,,Trinidad and Tobago,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
25602,,,Trinidad and Tobago,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
25603,,,Trinidad and Tobago,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
25604,,,Trinidad and Tobago,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
25605,,,Trinidad and Tobago,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
