,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
367973,,,US,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
367974,,,US,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
367975,,,US,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
367976,,,US,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
367977,,,US,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
367978,,,US,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
367979,,,US,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
367980,,,US,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
367981,,,US,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
367982,,,US,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
367983,,,US,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
367984,,,US,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
367985,,,US,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
367986,,,US,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
367987,,,US,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
367988,,,US,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
367989,,,US,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
367990,,,US,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
367991,,,US,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
367992,,,US,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
367993,,,US,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
367994,,,US,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
367995,,,US,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
367996,,,US,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
367997,,,US,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
367998,,,US,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
367999,,,US,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
368000,,,US,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
368001,,,US,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
368002,,,US,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
