,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
368294,,,United Arab Emirates,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
368295,,,United Arab Emirates,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
368296,,,United Arab Emirates,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
368297,,,United Arab Emirates,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
368298,,,United Arab Emirates,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
368299,,,United Arab Emirates,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
368300,,,United Arab Emirates,2020-01-29,ConfirmedCases,4.0,Fatalities,0.0
368301,,,United Arab Emirates,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
368302,,,United Arab Emirates,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
368303,,,United Arab Emirates,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
368304,,,United Arab Emirates,2020-02-02,ConfirmedCases,1.0,Fatalities,0.0
368305,,,United Arab Emirates,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
368306,,,United Arab Emirates,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
368307,,,United Arab Emirates,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
368308,,,United Arab Emirates,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
368309,,,United Arab Emirates,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
368310,,,United Arab Emirates,2020-02-08,ConfirmedCases,2.0,Fatalities,0.0
368311,,,United Arab Emirates,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
368312,,,United Arab Emirates,2020-02-10,ConfirmedCases,1.0,Fatalities,0.0
368313,,,United Arab Emirates,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
368314,,,United Arab Emirates,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
368315,,,United Arab Emirates,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
368316,,,United Arab Emirates,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
368317,,,United Arab Emirates,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
368318,,,United Arab Emirates,2020-02-16,ConfirmedCases,1.0,Fatalities,0.0
