,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
369578,,,Uruguay,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
369579,,,Uruguay,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
369580,,,Uruguay,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
369581,,,Uruguay,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
369582,,,Uruguay,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
369583,,,Uruguay,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
369584,,,Uruguay,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
369585,,,Uruguay,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
369586,,,Uruguay,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
369587,,,Uruguay,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
369588,,,Uruguay,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
369589,,,Uruguay,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
369590,,,Uruguay,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
369591,,,Uruguay,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
369592,,,Uruguay,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
369593,,,Uruguay,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
369594,,,Uruguay,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
369595,,,Uruguay,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
369596,,,Uruguay,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
369597,,,Uruguay,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
369598,,,Uruguay,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
369599,,,Uruguay,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
369600,,,Uruguay,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
369601,,,Uruguay,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
369602,,,Uruguay,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
369603,,,Uruguay,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
369604,,,Uruguay,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
