,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
369899,,,Vietnam,2020-01-23,ConfirmedCases,2.0,Fatalities,0.0
369900,,,Vietnam,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
369901,,,Vietnam,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
369902,,,Vietnam,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
369903,,,Vietnam,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
369904,,,Vietnam,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
369905,,,Vietnam,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
369906,,,Vietnam,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
369907,,,Vietnam,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
369908,,,Vietnam,2020-02-01,ConfirmedCases,4.0,Fatalities,0.0
369909,,,Vietnam,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
369910,,,Vietnam,2020-02-03,ConfirmedCases,2.0,Fatalities,0.0
369911,,,Vietnam,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
369912,,,Vietnam,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
369913,,,Vietnam,2020-02-06,ConfirmedCases,2.0,Fatalities,0.0
369914,,,Vietnam,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
369915,,,Vietnam,2020-02-08,ConfirmedCases,3.0,Fatalities,0.0
369916,,,Vietnam,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
369917,,,Vietnam,2020-02-10,ConfirmedCases,1.0,Fatalities,0.0
369918,,,Vietnam,2020-02-11,ConfirmedCases,1.0,Fatalities,0.0
369919,,,Vietnam,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
369920,,,Vietnam,2020-02-13,ConfirmedCases,1.0,Fatalities,0.0
369921,,,Vietnam,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
369922,,,Vietnam,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
369923,,,Vietnam,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
369924,,,Vietnam,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
369925,,,Vietnam,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
369926,,,Vietnam,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
369927,,,Vietnam,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
369928,,,Vietnam,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
369929,,,Vietnam,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
369930,,,Vietnam,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
369931,,,Vietnam,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
369932,,,Vietnam,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
369933,,,Vietnam,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
369934,,,Vietnam,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
369935,,,Vietnam,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
369936,,,Vietnam,2020-02-29,ConfirmedCases,0.0,Fatalities,0.0
369937,,,Vietnam,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
369938,,,Vietnam,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
369939,,,Vietnam,2020-03-03,ConfirmedCases,0.0,Fatalities,0.0
369940,,,Vietnam,2020-03-04,ConfirmedCases,0.0,Fatalities,0.0
369941,,,Vietnam,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
369942,,,Vietnam,2020-03-06,ConfirmedCases,0.0,Fatalities,0.0
369943,,,Vietnam,2020-03-07,ConfirmedCases,2.0,Fatalities,0.0
369944,,,Vietnam,2020-03-08,ConfirmedCases,12.0,Fatalities,0.0
369945,,,Vietnam,2020-03-09,ConfirmedCases,0.0,Fatalities,0.0
369946,,,Vietnam,2020-03-10,ConfirmedCases,1.0,Fatalities,0.0
369947,,,Vietnam,2020-03-11,ConfirmedCases,7.0,Fatalities,0.0
369948,,,Vietnam,2020-03-12,ConfirmedCases,1.0,Fatalities,0.0
369949,,,Vietnam,2020-03-13,ConfirmedCases,8.0,Fatalities,0.0
369950,,,Vietnam,2020-03-14,ConfirmedCases,6.0,Fatalities,0.0
