,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
370006,,,West Bank and Gaza,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
370007,,,West Bank and Gaza,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
370008,,,West Bank and Gaza,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
370009,,,West Bank and Gaza,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
370010,,,West Bank and Gaza,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
370011,,,West Bank and Gaza,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
370012,,,West Bank and Gaza,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
370013,,,West Bank and Gaza,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
370014,,,West Bank and Gaza,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
370015,,,West Bank and Gaza,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
370016,,,West Bank and Gaza,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
370017,,,West Bank and Gaza,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
370018,,,West Bank and Gaza,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
370019,,,West Bank and Gaza,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
370020,,,West Bank and Gaza,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
370021,,,West Bank and Gaza,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
370022,,,West Bank and Gaza,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
370023,,,West Bank and Gaza,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
370024,,,West Bank and Gaza,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
370025,,,West Bank and Gaza,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
370026,,,West Bank and Gaza,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
370027,,,West Bank and Gaza,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
370028,,,West Bank and Gaza,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
370029,,,West Bank and Gaza,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
370030,,,West Bank and Gaza,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
370031,,,West Bank and Gaza,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
370032,,,West Bank and Gaza,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
370033,,,West Bank and Gaza,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
370034,,,West Bank and Gaza,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
